status_id,num_likes,first_page_comment,comments_beyond_pageone
163364503715353_1060684337316694,1,2,0
163364503715353_1060661647318963,82,5,9
163364503715353_1060036490714812,55,3,4
163364503715353_1059998817385246,2,1,0
163364503715353_1059894164062378,0,1,0
163364503715353_1059600667425061,0,2,0
163364503715353_1059584207426707,0,1,0
163364503715353_1059471197438008,51,3,4
163364503715353_1059057690812692,62,2,0
163364503715353_1059005014151293,50,3,0
163364503715353_1058999650818496,1,1,0
163364503715353_1058962134155581,71,5,16
163364503715353_1058948607490267,33,1,1
163364503715353_1058932474158547,31,0,3
163364503715353_1058542714197523,70,3,13
163364503715353_1058522244199570,0,2,0
163364503715353_1058504520868009,57,3,0
163364503715353_1058431960875265,42,2,6
163364503715353_209644762708867,0,0,0
163364503715353_1058016014250193,22,1,2
163364503715353_1058013627583765,83,2,5
163364503715353_1057914307593697,58,2,5
163364503715353_1057458460972615,0,0,0
163364503715353_1057458450972616,0,0,0
163364503715353_1057422790976182,0,1,0
163364503715353_1057343574317437,0,1,0
163364503715353_1057330850985376,24,0,17
163364503715353_1056762427708885,42,1,5
163364503715353_1056477387737389,0,0,0
163364503715353_1056408081077653,0,0,0
163364503715353_1057966777588450,0,0,0
163364503715353_1057966960921765,0,0,0
163364503715353_1057970374254757,0,0,0
163364503715353_1057970937588034,0,0,0
163364503715353_1050369268348201,111,4,6
163364503715353_141762886193450,0,0,0
163364503715353_1021733197894389,1,0,0
163364503715353_1021730464561329,0,0,0
163364503715353_1049692838415844,37,3,3
163364503715353_1049642878420840,98,1,4
163364503715353_1049289755122819,0,3,0
163364503715353_1049178515133943,22136,185,0
163364503715353_1049064345145360,770,11,743
163364503715353_1049057685146026,100,4,0
163364503715353_1048624631855998,0,1,0
163364503715353_1048583615193433,0,0,0
163364503715353_1048583291860132,0,0,0
163364503715353_858256307620523,0,0,0
163364503715353_858256217620532,0,0,0
163364503715353_1048554515196343,0,0,0
163364503715353_853795971403799,0,0,0
163364503715353_1048550881863373,0,0,0
163364503715353_1047960455255749,0,1,0
163364503715353_1047681368616991,0,0,0
163364503715353_1047414141977047,0,0,0
163364503715353_1047160538669074,0,1,0
163364503715353_1047158482002613,61,4,9
163364503715353_1046867582031703,0,0,0
163364503715353_1679264515683922,0,0,0
163364503715353_1046562335395561,0,1,0
163364503715353_1046542112064250,70,3,2
163364503715353_1046000572118404,157,5,16
163364503715353_1045750672143394,0,1,0
