status_id,num_likes,first_page_comment,comments_beyond_pageone
122366544456362_1355645317795139,0,0,0
122366544456362_1355642221128782,2,2,0
122366544456362_1355629801130024,0,1,0
122366544456362_1355623711130633,0,1,0
122366544456362_1355621874464150,0,1,0
122366544456362_1355573494468988,0,0,0
122366544456362_1355451087814562,70239,192,93
122366544456362_1355550411137963,0,0,0
122366544456362_1355543777805293,0,2,0
122366544456362_1352642888095382,31818,247,125
122366544456362_1355499227809748,0,1,4
122366544456362_1355498047809866,0,0,0
122366544456362_1355489924477345,2,5,0
122366544456362_1355486261144378,1,4,0
122366544456362_1355460771146927,0,1,0
122366544456362_1355417581151246,1,4,0
122366544456362_1355414184484919,3,4,0
122366544456362_1355414027818268,3,4,0
122366544456362_1355406274485710,0,1,0
122366544456362_1355398557819815,0,1,0
122366544456362_1355345694491768,0,1,0
122366544456362_1355324427827228,1,2,0
122366544456362_1355291711163833,0,1,0
122366544456362_1355263757833295,1,0,0
122366544456362_1355252384501099,5,1,0
122366544456362_1355243944501943,0,1,0
122366544456362_1355241481168856,0,4,0
122366544456362_1355211061171898,0,0,0
122366544456362_1355207791172225,2,1,0
122366544456362_1355195587840112,2,1,0
122366544456362_1355195497840121,0,2,0
122366544456362_1352642331428771,31122,484,158
122366544456362_1355184397841231,0,0,0
122366544456362_1355177261175278,1,0,0
122366544456362_1355126661180338,0,1,0
122366544456362_1355111577848513,0,1,0
122366544456362_1355082511184753,0,0,0
122366544456362_1354843234542014,0,1,0
122366544456362_1354832697876401,0,0,0
122366544456362_1354752801217724,0,1,0
122366544456362_1354733667886304,0,1,0
122366544456362_1354726431220361,0,0,0
122366544456362_1354715881221416,0,0,0
122366544456362_1354665587893112,1,0,0
122366544456362_1354607507898920,1,1,0
122366544456362_1354578147901856,1,0,0
122366544456362_1354576901235314,1,0,0
122366544456362_1354542224572115,1,0,0
122366544456362_1354532444573093,1,0,0
122366544456362_1354527221240282,1,1,0
122366544456362_1354439797915691,1,1,0
122366544456362_1354411261251878,1,1,0
122366544456362_1354400984586239,0,3,0
122366544456362_1352640898095581,37187,129,51
122366544456362_1354266484599689,0,0,0
122366544456362_1354262804600057,0,1,0
122366544456362_1354262667933404,1,0,0
122366544456362_1354250411267963,0,1,0
122366544456362_1354225101270494,1,1,0
122366544456362_1354217704604567,1,0,0
122366544456362_1354195194606818,0,0,0
122366544456362_1354178174608520,1,1,0
122366544456362_1354173844608953,2,3,0
122366544456362_1353889037970767,0,0,0
122366544456362_1353884857971185,0,0,0
122366544456362_1353884077971263,0,0,0
122366544456362_1353877721305232,0,0,0
122366544456362_1353838614642476,3,0,0
122366544456362_1353801344646203,0,3,0
122366544456362_1353800754646262,0,1,0
122366544456362_1353795067980164,0,0,0
122366544456362_1353720107987660,1,1,0
122366544456362_1353688564657481,1,1,0
122366544456362_1353662527993418,0,1,0
122366544456362_1353639924662345,0,1,0
122366544456362_1353638927995778,0,0,0
122366544456362_1353606901332314,0,2,0
122366544456362_1353520741340930,1,2,0
122366544456362_1353510774675260,0,0,0
122366544456362_1353500521342952,0,0,0
122366544456362_1353500234676314,0,0,0
122366544456362_1353469754679362,0,0,0
122366544456362_1353461821346822,0,1,0
122366544456362_1353409448018726,4,2,0
122366544456362_1353405061352498,0,0,0
122366544456362_1353405011352503,0,0,0
122366544456362_1353397234686614,0,1,0
122366544456362_1353396601353344,0,0,0
122366544456362_1353377694688568,0,2,0
122366544456362_1353377558021915,0,1,0
122366544456362_1353376888021982,0,0,0
122366544456362_1353367758022895,112,28,0
122366544456362_1353339778025693,0,1,0
122366544456362_1353339548025716,0,1,0
122366544456362_1353318161361188,1,2,0
122366544456362_1353317981361206,0,5,0
122366544456362_1353314908028180,1,3,0
122366544456362_1353314071361597,0,0,0
122366544456362_1353286391364365,1,1,0
122366544456362_1353247764701561,0,0,0
122366544456362_1353247048034966,0,1,0
122366544456362_1353234108036260,0,2,0
122366544456362_1353232658036405,0,1,0
122366544456362_1352544578105213,42328,453,233
122366544456362_1353228464703491,0,1,0
122366544456362_1352921511400853,1,2,0
122366544456362_1352906191402385,0,0,0
122366544456362_1352877038071967,0,1,0
122366544456362_1352876721405332,0,0,0
122366544456362_1352840854742252,1,1,0
122366544456362_1352837564742581,3,20,2
122366544456362_1352832091409795,0,0,0
122366544456362_1352825214743816,0,1,0
122366544456362_1352825001410504,0,1,0
122366544456362_1352815371411467,1,2,0
122366544456362_1352812998078371,0,1,0
122366544456362_1352812244745113,0,1,0
122366544456362_1352783518081319,0,3,0
122366544456362_1352772791415725,0,1,0
122366544456362_1352761534750184,1,0,0
122366544456362_1352732538086417,0,0,0
122366544456362_1352722281420776,0,0,0
122366544456362_1352721904754147,1,1,0
122366544456362_1352711794755158,0,0,0
122366544456362_1352709134755424,0,1,0
122366544456362_1352705058089165,0,0,0
122366544456362_1352685181424486,0,0,0
122366544456362_1352669341426070,114,20,0
122366544456362_1352643518095319,0,1,0
122366544456362_1352643438095327,0,0,0
122366544456362_1352643128095358,0,1,0
122366544456362_1352643064762031,0,1,0
122366544456362_1352642994762038,0,0,0
122366544456362_1352642911428713,0,1,0
122366544456362_1352638568095814,0,1,0
122366544456362_1352599674766370,1,2,0
122366544456362_1352541151438889,17389,127,61
122366544456362_1352533638106307,0,2,0
122366544456362_1352530451439959,0,0,0
122366544456362_1352528648106806,0,0,0
122366544456362_1352527604773577,0,0,0
122366544456362_1352513171441687,0,1,0
122366544456362_1352492771443727,0,3,0
122366544456362_1352491894777148,0,2,0
122366544456362_1352491868110484,0,2,0
122366544456362_1352491708110500,0,2,0
122366544456362_1352491708110500,0,2,0
