status_id,num_likes,first_page_comment,comments_beyond_pageone
115332808485663_1094876387197962,273,27,14
115332808485663_1094436643908603,358,21,16
115332808485663_1094297000589234,473,22,37
115332808485663_1093428610676073,19713,123,254
115332808485663_1093414767344124,33628,211,310
115332808485663_1093400277345573,31692,133,143
115332808485663_1093384777347123,33801,88,139
115332808485663_1093343650684569,32868,91,179
115332808485663_1093330374019230,1220,26,20
115332808485663_1093322387353362,86575,1211,1328
115332808485663_1092942067391394,791,67,33
115332808485663_1092561780762756,343,12,23
115332808485663_1092093747476226,1136,39,111
115332808485663_1091475754204692,704,58,26
115332808485663_1089753574376910,663,48,26
115332808485663_1088644461154488,367,18,8
115332808485663_1088643697821231,115,16,3
115332808485663_1088519047833696,704,48,24
115332808485663_1088174864534781,171,9,1
115332808485663_1088056417879959,361,31,6
115332808485663_1087634844588783,491,22,7
115332808485663_1087284517957149,343,18,9
115332808485663_1086898844662383,1254,68,71
115332808485663_1086302388055362,445,25,15
115332808485663_1085964308089170,297,29,4
115332808485663_1085292394823028,105493,402,207
115332808485663_1085179144834353,605,43,19
115332808485663_1085004124851855,413,15,9
115332808485663_1084996388185962,247,4,0
115332808485663_1084283744923893,1834,53,17
115332808485663_1084296521589282,361,10,11
115332808485663_1084239921594942,525,19,11
115332808485663_1084159308269670,61501,624,337
115332808485663_1083732581645676,565,19,7
115332808485663_1083702758315325,106112,612,309
115332808485663_1083186188366982,503,22,15
115332808485663_1082854971733437,126,5,6
115332808485663_1082845435067724,516,20,18
115332808485663_1082802331738701,345,7,8
115332808485663_1081964081822526,148,15,5
115332808485663_1081964021822532,114,7,0
115332808485663_1081962015156066,78,3,0
115332808485663_1081961928489408,98,3,2
115332808485663_1081961481822786,68,2,0
115332808485663_1081924328493168,323,16,1
115332808485663_1081298131889121,382,19,5
115332808485663_1081202445232023,200,18,22
115332808485663_1080941835258084,592,14,6
115332808485663_1080680095284258,334,42,11
115332808485663_1079975898688011,13820,38,13
115332808485663_1079563772062557,1076,51,31
115332808485663_1078985438787057,542,29,10
115332808485663_1078891152129819,208,4,0
115332808485663_1078789015473366,132954,436,227
115332808485663_1078365245515743,111474,732,288
115332808485663_1077982038887397,564,39,8
115332808485663_1077590018926599,506,31,9
115332808485663_1076985408987060,776,35,18
115332808485663_1076783542340580,211,6,0
115332808485663_1076475885704679,127529,807,267
115332808485663_1076144012404533,1017,53,23
115332808485663_1075949765757291,535,24,17
115332808485663_1075751249110476,109104,439,229
115332808485663_1075616685790599,10122,55,2
115332808485663_1074913579194243,487,31,11
115332808485663_1074751639210437,292,9,12
115332808485663_1074672375885030,41362,143,111
115332808485663_1073967889288812,102184,434,220
115332808485663_1073647692654165,1023,36,29
115332808485663_1072691569416444,545,27,16
115332808485663_1072182626134005,292,7,0
115332808485663_1071309509554650,754,39,17
115332808485663_1071294202889514,229,10,0
115332808485663_1071191789566422,1486,45,51
115332808485663_1070667696285498,1070,33,26
115332808485663_1070007946351473,1351,55,47
115332808485663_1069880406364227,1047,50,24
115332808485663_1069501266402141,796,46,21
115332808485663_1069071999778401,425,26,1
115332808485663_1069071966445071,1085,34,1
115332808485663_1069071926445075,1399,16,0
115332808485663_1069070276445240,1083,25,20
115332808485663_1069069203112014,896,19,0
115332808485663_1068210223197912,506,29,14
115332808485663_1067179419967659,730,37,18
115332808485663_1067175729968028,532,20,5
115332808485663_1066760826676185,657,19,18
115332808485663_1066506280034973,524,16,8
115332808485663_1066237946728473,924,44,18
115332808485663_1066137333405201,29370,62,123
115332808485663_1065781690107432,27613,70,88
115332808485663_1065681146784153,27068,131,67
115332808485663_1064177523601182,605,22,12
115332808485663_1064176336934634,451,17,11
115332808485663_1064175380268063,504,16,8
115332808485663_1064173863601548,603,27,13
115332808485663_1064171010268500,448,22,11
115332808485663_1064171866935081,565,12,10
115332808485663_1064064646945803,443,24,8
115332808485663_1063743476977920,535,28,10
115332808485663_1063602510325350,663,20,4
115332808485663_1063277373691197,920,41,29
115332808485663_1063205353698399,92,9,1
115332808485663_1063172437035024,28252,69,58
115332808485663_1062804650405136,177,7,0
115332808485663_1062802317072036,429,18,4
115332808485663_1062662747085993,447,25,8
115332808485663_1062315310454070,433,14,2
115332808485663_1062151833803751,35139,93,61
115332808485663_1060805233938411,434,22,8
115332808485663_1060800660605535,504,17,8
115332808485663_1060933187258949,78717,485,222
115332808485663_1060798300605771,457,16,5
115332808485663_1060779210607680,574,36,13
115332808485663_1060351623983772,401,31,7
115332808485663_1060350070650594,142230,492,919
115332808485663_1060214067330861,738,28,9
115332808485663_1059918080693793,178,5,0
115332808485663_1059852794033655,39362,485,125
115332808485663_1059345954084339,448,21,11
115332808485663_1059341340751467,58286,453,214
115332808485663_1059168574102077,438,22,5
115332808485663_1058631397489128,711,48,14
115332808485663_1058348157517452,38085,96,78
115332808485663_1056964294322505,587,18,8
115332808485663_1056963040989297,1096,42,17
115332808485663_1056946227657645,572,12,6
115332808485663_1056959020989699,1234,24,12
115332808485663_1056774684341466,183,1,0
115332808485663_1056743764344558,537,8,9
115332808485663_1056258814393053,497,22,8
115332808485663_1056251131060488,582,9,12
115332808485663_1055771261108475,711,12,11
115332808485663_1055769867775281,966,32,21
115332808485663_1055668101118791,565,18,8
115332808485663_1054411617911106,541,28,12
115332808485663_1054408347911433,449,12,2
115332808485663_1053716814647253,596,8,9
115332808485663_1053468231338778,1149,40,15
115332808485663_1053448168007451,388,9,2
115332808485663_1053717991313802,149,3,0
115332808485663_1053446271340974,592,20,13
115332808485663_1053364971349104,342,10,16
115332808485663_1053341854684749,2596,52,39
115332808485663_1052402471445354,631,10,16
115332808485663_1052866384732296,1055,31,21
115332808485663_1052403908111877,719,12,12
115332808485663_1052411428111125,403,16,10
115332808485663_1051937951491806,408,9,6
115332808485663_1052041178148150,155,5,0
115332808485663_1051937058158562,490,10,4
115332808485663_1051812251504376,1055,30,23
115332808485663_1051458151539786,592,17,6
115332808485663_1051457021539899,1093,36,19
115332808485663_1051382188214049,616,22,30
115332808485663_1050343148317953,575,9,6
115332808485663_1050341971651404,760,16,7
115332808485663_1050339674984967,706,9,7
115332808485663_1050338754985059,550,11,6
115332808485663_1050354591650142,581,15,10
115332808485663_1050353401650261,210,0,1
115332808485663_1050022648350003,11738,39,45
115332808485663_1050019785016956,46257,107,128
115332808485663_1049858355033099,41473,129,87
115332808485663_1049506541734947,115780,1403,344
115332808485663_1049050528447215,49088,148,150
115332808485663_1049058395113095,546,28,19
115332808485663_1048679621817639,614,13,7
115332808485663_1048497771835824,47560,193,154
115332808485663_1048340495184885,439,14,7
115332808485663_1047997095219225,624,8,2
115332808485663_1046561302029471,423,10,4
115332808485663_1046560348696233,678,31,6
115332808485663_1046552095363725,20910,56,84
115332808485663_1046549472030654,1066,56,18
115332808485663_1046544972031104,738,21,11
115332808485663_1045855118766756,16625,68,60
115332808485663_1045853972100204,559,9,6
115332808485663_1045696018782666,907,21,8
115332808485663_1045390732146528,726,16,11
115332808485663_1044871038865164,1062,27,15
115332808485663_1044689368883331,629,11,18
115332808485663_1044419332243668,653,17,4
115332808485663_1043095789042689,20902,96,63
